id,territorial,fecha_acc,dia_semana_acc,condic_meteor,estado_super,terreno,geometria_acc,tipo_cierre,n_heridos,n_muertos,clase_accidente,hora_acc
0,San Andres y Providencia,2018-02-25,domingo,Seca,Seca y limpia,Plano,Recta,Transito normal con precaución,2,0,Choque,100.0
1,San Andres y Providencia,2018-02-17,sabado,Seca,Seca y limpia,Plano,Recta,Transito normal con precaución,3,0,Choque,100.0
2,San Andres y Providencia,2018-02-03,sabado,Seca,Seca y limpia,Plano,Recta,Transito normal con precaución,2,0,Choque,100.0
3,San Andres y Providencia,2018-01-27,sabado,Seca,Seca y limpia,Plano,Curva Derecha,Transito normal con precaución,3,0,Choque,100.0
4,San Andres y Providencia,2018-01-24,miercoles,Seca,Seca y limpia,Plano,Recta,Transito normal con precaución,2,0,Choque,100.0
5,San Andres y Providencia,2018-01-21,domingo,Seca,Seca y limpia,Plano,Recta,Transito normal con precaución,1,0,Choque,100.0
6,San Andres y Providencia,2018-01-04,jueves,Lluvia,Humeda,Plano,Recta,Transito normal con precaución,3,1,Choque,100.0
7,San Andres y Providencia,2018-01-04,jueves,Lluvia,Humeda,Plano,Recta,Transito normal con precaución,3,1,Choque,100.0
8,San Andres y Providencia,2018-01-04,jueves,Lluvia,Humeda,Plano,Recta,Transito normal con precaución,3,1,Choque,100.0
9,San Andres y Providencia,2017-12-04,lunes,Seca,Seca y limpia,Plano,Curva Izquierda,Transito normal con precaución,1,0,Choque,100.0
10,San Andres y Providencia,2017-12-18,lunes,Seca,Seca y limpia,Plano,Recta,Transito normal con precaución,2,0,Choque,100.0
11,San Andres y Providencia,2017-12-03,domingo,Seca,Seca y limpia,Plano,Recta,Transito normal con precaución,1,0,Choque,100.0
12,San Andres y Providencia,2017-12-02,sabado,Seca,Seca y limpia,Plano,Recta,Transito normal con precaución,0,0,Volcamiento,100.0
13,San Andres y Providencia,2017-12-12,martes,Seca,Seca y limpia,Plano,Recta,Transito normal con precaución,1,0,Volcamiento,100.0
14,San Andres y Providencia,2017-11-09,jueves,Seca,Seca y limpia,Plano,Recta,Transito normal con precaución,2,2,Choque,100.0
15,San Andres y Providencia,2017-11-03,viernes,Seca,Seca y limpia,Plano,Curva Izquierda,Transito normal con precaución,2,2,Choque,100.0
16,San Andres y Providencia,2017-10-29,domingo,Seca,Seca y limpia,Plano,Curva Derecha,Transito normal con precaución,2,2,Choque,100.0
17,San Andres y Providencia,2017-10-21,sabado,Sol,Seca y limpia,Plano,Recta,Transito normal con precaución,0,0,Choque,100.0
18,San Andres y Providencia,2017-10-14,sabado,Sol,Seca y limpia,Plano,Recta,Transito normal con precaución,1,0,Choque,100.0
19,San Andres y Providencia,2017-10-13,viernes,Lluvia,Humeda,Plano,Recta,Transito normal con precaución,1,0,Choque,100.0
20,San Andres y Providencia,2017-08-28,lunes,Seca,Seca y limpia,Plano,Recta,Transito normal con precaución,2,0,Volcamiento,100.0
21,San Andres y Providencia,2017-08-22,martes,Seca,Seca y limpia,Plano,Recta,Transito normal con precaución,1,0,Choque,100.0
